time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-05 00:00:00+00:00,29,2,41.0,3.0
2025-02-06 00:00:00+00:00,12,2,41.0,4.0
2025-02-07 00:00:00+00:00,1,1,,
2025-02-08 00:00:00+00:00,1,1,1.0,1.0
2025-02-09 00:00:00+00:00,1,1,,
2025-02-10 00:00:00+00:00,1,1,,
2025-02-11 00:00:00+00:00,1,1,,
2025-02-12 00:00:00+00:00,1,1,,
2025-02-13 00:00:00+00:00,1,1,,
2025-02-14 00:00:00+00:00,1,1,,
2025-02-15 00:00:00+00:00,1,1,11.0,2.0
2025-02-16 00:00:00+00:00,2,2,15.0,1.0
2025-02-17 00:00:00+00:00,1,1,3.0,1.0
2025-02-18 00:00:00+00:00,1,1,1.0,1.0
