url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,41,4
/CTF-FlagFrenzy/challenges/blob/main/Hidden_Frequencies/writeup.md,6,2
/CTF-FlagFrenzy/challenges/tree/main/Hidden_Frequencies,6,2
/CTF-FlagFrenzy/challenges/pull/70,6,1
/CTF-FlagFrenzy/challenges/pulls,6,1
/CTF-FlagFrenzy/challenges/blob/main/Time_Travelers_Hunt/writeup.md,5,2
/CTF-FlagFrenzy/challenges/tree/main,5,2
/CTF-FlagFrenzy/challenges/pull/76/commits,5,1
/CTF-FlagFrenzy/challenges/blob/main/Git_Secrets_Layers_of_Discovery/writeup.md,4,2
/CTF-FlagFrenzy/challenges/blob/main/Hidden_Job/writeup.md,4,2
